Filme,Realizador,Duração,Género,Ano lançamento,Rating
filme126736,realizador1,195 min,Romantic Movies,1975,2
filme149102,realizador16,30 min,Sci-Fi & Fantasy,1975,1
filme98384,realizador16,45 min,LGBTQ Movies,2011,5
filme76287,realizador1,191 min,Independent Movies,1970,5
filme22602,realizador13,222 min,Movies,2008,1
filme58972,realizador13,207 min,Sports Movies,1962,4
filme59687,realizador9,220 min,Dramas,1983,5
filme137046,realizador12,50 min,Documentaries,1976,1
filme104651,realizador9,222 min,Romantic Movies,2012,1
filme146815,realizador8,96 min,Documentaries,2011,1
filme109366,realizador7,150 min,Documentaries,2006,3
filme146470,realizador17,236 min,Independent Movies,1991,4
filme104387,realizador18,88 min,Horror Movies,1996,3
filme104044,realizador10,177 min,Sports Movies,2010,1
filme121561,realizador11,214 min,Movies,1991,3
filme45351,realizador6,79 min,Sci-Fi & Fantasy,1967,4
filme71702,realizador16,190 min,Children & Family Movies,1960,5
filme75732,realizador19,217 min,International Movies,1979,1
filme123954,realizador1,200 min,Children & Family Movies,2013,4
filme143232,realizador14,91 min,Dramas,1977,2
filme84340,realizador7,135 min,Cult Movies,2014,2
filme28470,realizador4,75 min,Anime Features,1977,2
filme21144,realizador8,114 min,LGBTQ Movies,2005,2
filme61545,realizador14,52 min,Cult Movies,1962,4
filme13540,realizador11,38 min,Sports Movies,2015,1
filme13859,realizador3,229 min,Sci-Fi & Fantasy,2018,2
filme49820,realizador18,213 min,Documentaries,2006,3
filme50198,realizador4,32 min,Music & Musicals,2011,2
filme122377,realizador16,135 min,Sports Movies,1973,3
filme87380,realizador17,105 min,Sci-Fi & Fantasy,2018,4
filme13302,realizador4,238 min,Dramas,1988,4
filme60532,realizador19,100 min,Sci-Fi & Fantasy,1961,1
filme95292,realizador5,82 min,Sports Movies,1987,3
filme15700,realizador4,189 min,International Movies,2008,4
filme56660,realizador19,107 min,Sci-Fi & Fantasy,2020,3
filme107548,realizador18,66 min,Documentaries,2022,3
filme100170,realizador8,217 min,Documentaries,1992,2
filme126676,realizador14,177 min,Stand-Up Comedy,1983,3
filme80758,realizador14,210 min,Documentaries,1983,1
filme80033,realizador11,88 min,Dramas,1989,4
filme139933,realizador15,35 min,LGBTQ Movies,1989,3
filme13897,realizador18,49 min,Music & Musicals,2012,3
filme57580,realizador4,130 min,Sports Movies,1968,5
filme135669,realizador6,49 min,Classic Movies,2022,4
filme125685,realizador14,83 min,Sports Movies,1984,2
filme28037,realizador7,93 min,Anime Features,2011,5
filme18174,realizador12,230 min,Horror Movies,1996,5
filme125985,realizador8,116 min,Action & Adventure,2023,4
filme141373,realizador7,133 min,Thrillers,1973,4
filme125481,realizador17,54 min,Documentaries,1987,3
filme130784,realizador5,128 min,Thrillers,1987,4
filme23906,realizador19,93 min,Independent Movies,1991,1
filme57089,realizador16,157 min,Movies,2016,5
filme69483,realizador11,88 min,Stand-Up Comedy,2011,4
filme140693,realizador19,150 min,Documentaries,1967,4
filme45332,realizador2,160 min,Children & Family Movies,1999,3
filme55007,realizador18,52 min,Music & Musicals,1990,4
filme88070,realizador13,95 min,Thrillers,2007,4
filme52337,realizador6,87 min,Anime Features,2008,5
filme132937,realizador6,167 min,Romantic Movies,2016,5
filme42160,realizador19,231 min,Music & Musicals,1962,1
filme78529,realizador8,140 min,Sports Movies,2006,4
filme50309,realizador1,97 min,Anime Features,1965,3
filme95656,realizador11,58 min,Music & Musicals,1972,3
filme5097,realizador4,206 min,Romantic Movies,2000,4
filme85925,realizador18,159 min,Cult Movies,1992,3
filme23060,realizador3,33 min,Children & Family Movies,1990,1
filme48080,realizador11,153 min,Cult Movies,2006,1
filme107230,realizador4,165 min,Stand-Up Comedy,1975,2
filme44554,realizador18,113 min,International Movies,1998,3
filme121852,realizador6,219 min,Dramas,1987,2
filme82634,realizador10,125 min,Horror Movies,1993,4
filme33115,realizador16,150 min,Documentaries,2014,5
filme102800,realizador15,97 min,Thrillers,2008,2
filme118330,realizador4,69 min,LGBTQ Movies,1997,2
filme54714,realizador18,71 min,Children & Family Movies,1997,1
filme18736,realizador11,156 min,International Movies,1993,5
filme99968,realizador15,207 min,Stand-Up Comedy,1987,3
filme987,realizador10,224 min,Thrillers,1962,2
filme87719,realizador14,216 min,Horror Movies,1989,3
filme83403,realizador13,144 min,Documentaries,1964,3
filme115600,realizador3,240 min,Movies,1992,4
filme84405,realizador8,200 min,Cult Movies,1973,3
filme75316,realizador4,145 min,Dramas,1988,2
filme107040,realizador6,200 min,Comedies,1973,3
filme7615,realizador15,182 min,Classic Movies,2006,5
filme1457,realizador3,66 min,Dramas,1984,3
filme101517,realizador12,69 min,Sci-Fi & Fantasy,2003,1
filme110269,realizador13,59 min,Romantic Movies,2013,3
filme123119,realizador7,68 min,Horror Movies,1990,4
filme56795,realizador2,183 min,Sports Movies,1990,2
filme65047,realizador12,215 min,International Movies,2009,5
filme52410,realizador16,113 min,Dramas,1971,2
filme61374,realizador15,51 min,Sports Movies,2008,4
filme115691,realizador9,221 min,Independent Movies,1985,3
filme73954,realizador4,75 min,Documentaries,1988,1
filme104840,realizador15,214 min,Comedies,2018,3
filme22344,realizador3,44 min,Horror Movies,2012,4
filme108985,realizador5,206 min,Horror Movies,1960,1
filme59238,realizador3,74 min,Dramas,2015,2
filme24962,realizador6,73 min,Children & Family Movies,1998,5
filme135906,realizador19,163 min,International Movies,2020,1
filme126238,realizador5,206 min,Romantic Movies,1971,2
filme34578,realizador4,232 min,Comedies,2017,5
filme15769,realizador2,205 min,Sports Movies,1996,2
filme83634,realizador10,82 min,Dramas,1974,1
filme113738,realizador1,207 min,LGBTQ Movies,2018,3
filme54496,realizador15,53 min,Action & Adventure,2013,1
filme54668,realizador9,237 min,Independent Movies,1995,1
filme75744,realizador13,135 min,Comedies,1980,1
filme143082,realizador10,44 min,Romantic Movies,2010,5
filme43100,realizador16,207 min,Action & Adventure,1985,5
filme21311,realizador5,98 min,Music & Musicals,1963,2
filme73358,realizador18,72 min,Anime Features,2022,1
filme140177,realizador9,44 min,LGBTQ Movies,1973,4
filme46287,realizador1,95 min,Horror Movies,1998,1
filme108747,realizador7,228 min,LGBTQ Movies,1972,4
filme73003,realizador4,69 min,Stand-Up Comedy,1987,2
filme43044,realizador10,106 min,Independent Movies,1992,2
filme50280,realizador2,194 min,Romantic Movies,1984,3
filme148105,realizador2,172 min,Stand-Up Comedy,1990,3
filme20247,realizador11,31 min,Dramas,1997,3
filme122593,realizador18,199 min,Cult Movies,2008,3
filme50012,realizador13,147 min,Comedies,1981,1
filme148223,realizador4,162 min,International Movies,1964,2
filme57019,realizador11,178 min,Thrillers,2010,2
filme13683,realizador19,146 min,Sci-Fi & Fantasy,2000,1
filme5602,realizador17,96 min,International Movies,1964,1
filme1689,realizador4,57 min,Comedies,1964,1
filme70012,realizador17,176 min,Action & Adventure,2009,2
filme96480,realizador17,144 min,Classic Movies,1997,2
filme129987,realizador18,149 min,Comedies,1996,2
filme31177,realizador10,152 min,International Movies,2009,4
filme141534,realizador10,188 min,Sports Movies,1992,4
filme134213,realizador14,111 min,Children & Family Movies,1982,2
filme48206,realizador16,90 min,Romantic Movies,1989,1
filme7195,realizador6,218 min,International Movies,1970,1
filme97166,realizador4,234 min,Cult Movies,1974,3
filme31549,realizador2,231 min,Classic Movies,2000,5
filme35997,realizador19,240 min,Dramas,2020,4
filme55768,realizador18,195 min,Sci-Fi & Fantasy,1971,4
filme142765,realizador14,38 min,Music & Musicals,2007,4
filme77643,realizador14,205 min,Documentaries,2021,1
filme62599,realizador8,160 min,LGBTQ Movies,1977,4
filme8523,realizador17,221 min,Children & Family Movies,2013,1
filme128937,realizador18,173 min,LGBTQ Movies,1997,4
filme2236,realizador14,72 min,Independent Movies,2023,2
filme17160,realizador14,220 min,Movies,2007,4
filme109051,realizador1,177 min,Stand-Up Comedy,1991,5
filme69240,realizador7,35 min,Comedies,1986,5
filme110200,realizador7,134 min,Horror Movies,2014,1
filme135186,realizador19,83 min,Comedies,2009,5
filme130465,realizador5,168 min,Cult Movies,2022,3
filme103003,realizador14,140 min,Anime Features,2016,4
filme3574,realizador17,172 min,Action & Adventure,1967,2
filme3938,realizador18,46 min,Movies,1993,1
filme14784,realizador2,117 min,Movies,1988,2
filme63634,realizador5,139 min,Romantic Movies,2004,2
filme57866,realizador7,224 min,International Movies,2002,2
filme85561,realizador19,50 min,Comedies,2000,2
filme98957,realizador8,74 min,International Movies,2010,4
filme79927,realizador4,184 min,Anime Features,2004,5
filme119996,realizador18,172 min,Classic Movies,1987,5
filme60561,realizador12,92 min,International Movies,1988,3
filme71608,realizador14,92 min,Stand-Up Comedy,2013,1
filme124202,realizador3,45 min,International Movies,2007,5
filme56455,realizador6,205 min,Movies,1980,3
filme109614,realizador8,131 min,Music & Musicals,2003,2
filme119617,realizador8,230 min,Movies,1976,2
filme143868,realizador13,113 min,Sports Movies,2020,1
filme78349,realizador5,201 min,Music & Musicals,2005,4
filme70911,realizador16,130 min,International Movies,2010,2
filme138624,realizador9,188 min,Anime Features,1983,1
filme12076,realizador9,238 min,Romantic Movies,1972,4
filme15944,realizador12,158 min,Comedies,1976,3
filme104789,realizador6,48 min,International Movies,1999,1
filme63119,realizador17,75 min,Documentaries,1962,1
filme88395,realizador5,151 min,Independent Movies,1963,3
filme24960,realizador2,165 min,Horror Movies,2015,5
filme69881,realizador2,48 min,Classic Movies,2014,2
filme32245,realizador17,222 min,Music & Musicals,1960,1
filme73421,realizador13,180 min,Children & Family Movies,1974,2
filme108403,realizador9,234 min,International Movies,1986,5
filme102483,realizador12,147 min,Thrillers,1984,4
filme51991,realizador18,52 min,Sports Movies,1993,4
filme122396,realizador19,129 min,Cult Movies,1996,5
filme26177,realizador3,202 min,Children & Family Movies,1970,3
filme35829,realizador11,218 min,Stand-Up Comedy,1997,3
filme36891,realizador1,59 min,Independent Movies,1967,1
filme43042,realizador14,235 min,Comedies,1968,3
filme19405,realizador1,118 min,Dramas,1972,4
filme61291,realizador15,159 min,Horror Movies,2012,3
filme49762,realizador11,198 min,Thrillers,1960,1
filme73830,realizador10,102 min,Classic Movies,2012,4
filme21037,realizador13,60 min,Sports Movies,1974,4
filme121714,realizador4,54 min,Romantic Movies,1999,3
filme93683,realizador13,68 min,Sports Movies,1997,5
filme82333,realizador13,149 min,Horror Movies,1990,3
filme69450,realizador9,114 min,LGBTQ Movies,2014,3
filme45686,realizador3,141 min,Thrillers,2021,1
filme36784,realizador18,131 min,Music & Musicals,2010,5
filme59329,realizador1,58 min,International Movies,1964,3
filme52107,realizador16,92 min,Action & Adventure,1964,5
filme1147,realizador3,50 min,Cult Movies,2012,3
filme114861,realizador8,34 min,Horror Movies,1989,4
filme85944,realizador16,140 min,Documentaries,2002,2
filme52544,realizador7,203 min,Classic Movies,1976,2
filme25069,realizador12,212 min,Thrillers,1976,2
filme57563,realizador4,157 min,LGBTQ Movies,1976,5
filme2765,realizador9,103 min,Anime Features,2005,4
filme115321,realizador17,64 min,Thrillers,2004,1
filme102674,realizador11,46 min,Stand-Up Comedy,1993,2
filme47760,realizador10,153 min,Cult Movies,1983,1
filme141348,realizador2,59 min,Anime Features,1965,2
filme76059,realizador2,83 min,Sports Movies,2022,2
filme32031,realizador2,210 min,Classic Movies,2007,4
filme51352,realizador14,207 min,Sci-Fi & Fantasy,2005,4
filme49232,realizador12,151 min,Thrillers,1981,4
filme55111,realizador13,223 min,Stand-Up Comedy,1976,3
filme79395,realizador3,143 min,Action & Adventure,1973,3
filme118031,realizador12,217 min,Anime Features,1988,4
filme122081,realizador17,96 min,Classic Movies,1966,4
filme132356,realizador4,157 min,Documentaries,1960,4
filme3575,realizador7,142 min,Music & Musicals,2020,5
filme71655,realizador18,205 min,Cult Movies,1990,1
filme4604,realizador3,145 min,Sci-Fi & Fantasy,2012,4
filme69279,realizador3,224 min,Dramas,1996,1
filme32927,realizador16,94 min,Romantic Movies,1975,1
filme72730,realizador7,91 min,LGBTQ Movies,1963,4
filme89416,realizador17,220 min,Movies,2000,5
filme109800,realizador13,209 min,Documentaries,2020,4
filme110563,realizador18,132 min,LGBTQ Movies,2002,2
filme57680,realizador6,199 min,Movies,2018,2
filme27287,realizador5,172 min,Sci-Fi & Fantasy,2007,3
filme86515,realizador13,71 min,Romantic Movies,1980,5
filme33973,realizador9,117 min,Dramas,2006,3
filme115720,realizador1,158 min,Comedies,1974,1
filme17569,realizador16,132 min,Anime Features,2020,1
filme111271,realizador14,233 min,International Movies,2000,3
filme90186,realizador16,232 min,Children & Family Movies,2004,2
filme47643,realizador16,102 min,Children & Family Movies,1989,1
filme14251,realizador16,77 min,Cult Movies,1993,1
filme134350,realizador7,30 min,International Movies,1969,2
filme82598,realizador3,88 min,Classic Movies,1987,2
filme102958,realizador9,54 min,Action & Adventure,1964,4
filme988,realizador3,105 min,Stand-Up Comedy,1978,3
filme97895,realizador15,187 min,Thrillers,1976,5
filme84807,realizador12,89 min,LGBTQ Movies,1979,1
filme86910,realizador16,96 min,LGBTQ Movies,2006,5
filme85950,realizador9,63 min,Action & Adventure,2010,5
filme76452,realizador15,136 min,Action & Adventure,1991,1
filme84850,realizador6,144 min,Music & Musicals,1967,5
filme114346,realizador14,112 min,Action & Adventure,1972,2
filme53834,realizador10,163 min,Thrillers,1967,5
filme102823,realizador6,210 min,Classic Movies,1965,5
filme101779,realizador9,83 min,Movies,1968,1
filme8722,realizador7,84 min,Classic Movies,2023,4
filme87815,realizador8,180 min,Comedies,2018,3
filme134914,realizador4,159 min,Thrillers,1980,4
filme89332,realizador7,215 min,Anime Features,1980,3
filme103249,realizador18,173 min,Sci-Fi & Fantasy,2014,1
filme116796,realizador7,47 min,Dramas,1979,5
filme97291,realizador12,194 min,Music & Musicals,2021,4
filme72411,realizador3,151 min,Dramas,1978,1
filme53241,realizador6,126 min,Documentaries,2007,1
filme75815,realizador13,210 min,Comedies,2003,5
filme104274,realizador19,237 min,Classic Movies,2021,3
filme90482,realizador14,87 min,International Movies,1995,3
filme15842,realizador19,227 min,Stand-Up Comedy,1978,3
filme29617,realizador4,115 min,Sci-Fi & Fantasy,2016,5
filme78656,realizador3,117 min,Children & Family Movies,1974,5
filme89914,realizador8,212 min,Music & Musicals,1979,2
filme11661,realizador3,238 min,Documentaries,1998,4
filme95781,realizador13,82 min,Stand-Up Comedy,1974,3
filme18024,realizador14,97 min,Sci-Fi & Fantasy,2004,3
filme62185,realizador16,222 min,Sports Movies,2015,3
filme54780,realizador7,202 min,International Movies,1970,3
filme121757,realizador15,187 min,Dramas,2002,1
filme82412,realizador17,107 min,Horror Movies,2004,5
filme69255,realizador3,62 min,Independent Movies,1987,2
filme93262,realizador2,113 min,Sports Movies,2016,1
filme41194,realizador19,200 min,LGBTQ Movies,2018,4
filme91627,realizador2,97 min,Movies,1970,5
filme78407,realizador5,173 min,Classic Movies,2020,2
filme59229,realizador8,89 min,Thrillers,2021,2
filme87185,realizador15,79 min,Romantic Movies,2006,5
filme69546,realizador7,153 min,Stand-Up Comedy,2013,5
filme86535,realizador16,194 min,Sports Movies,1972,2
filme851,realizador17,154 min,Music & Musicals,1985,1
filme46371,realizador10,89 min,Sci-Fi & Fantasy,1980,5
filme122318,realizador10,82 min,Sports Movies,2023,5
filme6743,realizador16,36 min,Dramas,1976,4
filme51033,realizador17,223 min,Anime Features,1968,3
filme121040,realizador8,70 min,Classic Movies,2004,2
filme88549,realizador19,72 min,Cult Movies,1997,2
filme9463,realizador4,135 min,Movies,1961,3
filme43432,realizador16,60 min,Romantic Movies,1997,3
filme67285,realizador19,224 min,Music & Musicals,1967,1
filme146610,realizador8,86 min,Music & Musicals,1986,4
filme129070,realizador18,132 min,Movies,2020,1
filme21895,realizador11,94 min,Children & Family Movies,1962,3
filme6895,realizador17,98 min,Sci-Fi & Fantasy,1999,5
filme122534,realizador7,92 min,Independent Movies,2011,2
filme90442,realizador17,142 min,Sports Movies,1984,2
filme9524,realizador18,113 min,Comedies,2018,3
filme62474,realizador1,116 min,Comedies,2016,5
filme29453,realizador8,153 min,Cult Movies,1973,1
filme60427,realizador5,198 min,Thrillers,1980,1
filme42435,realizador9,188 min,Children & Family Movies,1998,3
filme148059,realizador3,130 min,Sports Movies,2019,2
filme62441,realizador15,178 min,Cult Movies,1989,4
filme143765,realizador14,161 min,Sci-Fi & Fantasy,1978,5
filme91244,realizador2,92 min,Classic Movies,1972,2
filme12437,realizador13,162 min,Documentaries,2006,2
filme26257,realizador13,193 min,Horror Movies,1982,2
filme7946,realizador18,116 min,Sports Movies,2000,3
filme92589,realizador17,35 min,Cult Movies,1971,2
filme145748,realizador8,190 min,Horror Movies,1961,1
filme133668,realizador8,149 min,Anime Features,1986,1
filme112394,realizador13,157 min,Thrillers,1993,4
filme74905,realizador16,188 min,Comedies,1990,4
filme46064,realizador7,125 min,Horror Movies,1971,3
filme53628,realizador4,144 min,LGBTQ Movies,1978,3
filme16348,realizador17,222 min,Romantic Movies,1982,1
filme52686,realizador14,57 min,Movies,1982,2
filme71397,realizador12,223 min,Horror Movies,1980,4
filme40039,realizador3,109 min,Music & Musicals,2023,4
filme119108,realizador2,60 min,Cult Movies,2002,5
filme115533,realizador13,79 min,Sports Movies,2022,4
filme12070,realizador19,185 min,Cult Movies,2004,3
filme111219,realizador19,119 min,Classic Movies,1978,5
filme90016,realizador13,204 min,Music & Musicals,1993,4
filme115914,realizador11,139 min,Classic Movies,1984,2
filme82850,realizador11,155 min,Music & Musicals,2010,3
filme100355,realizador6,55 min,Stand-Up Comedy,2006,1
filme91873,realizador2,109 min,Stand-Up Comedy,2020,4
filme52986,realizador10,124 min,Independent Movies,2016,4
filme108300,realizador4,196 min,International Movies,1969,3
filme67967,realizador8,65 min,Sci-Fi & Fantasy,1995,4
filme116984,realizador17,235 min,Sports Movies,1961,4
filme29106,realizador14,112 min,Sci-Fi & Fantasy,1993,4
filme13126,realizador8,129 min,Romantic Movies,2001,5
filme123710,realizador8,71 min,LGBTQ Movies,1981,3
filme62376,realizador18,80 min,Music & Musicals,2020,1
filme3101,realizador8,132 min,Sci-Fi & Fantasy,1972,4
filme31681,realizador9,88 min,International Movies,1994,2
filme135207,realizador11,220 min,LGBTQ Movies,1978,2
filme10543,realizador8,227 min,Cult Movies,1991,3
filme71858,realizador3,159 min,LGBTQ Movies,1964,4
filme18282,realizador3,142 min,Sports Movies,2007,5
filme137620,realizador14,228 min,Classic Movies,2000,5
filme72700,realizador17,67 min,Stand-Up Comedy,2005,5
filme33638,realizador9,219 min,LGBTQ Movies,2000,3
filme83531,realizador3,194 min,Music & Musicals,1974,1
filme53271,realizador6,183 min,Documentaries,1973,4
filme57769,realizador11,62 min,Movies,1992,4
filme104221,realizador12,121 min,Documentaries,1963,5
filme69930,realizador19,151 min,Sports Movies,1969,5
filme32982,realizador17,193 min,Romantic Movies,1974,1
filme94193,realizador6,65 min,Comedies,2015,3
filme57548,realizador2,110 min,Action & Adventure,1998,3
filme120192,realizador2,45 min,Classic Movies,1987,1
filme9270,realizador6,195 min,Dramas,2002,4
filme120332,realizador7,115 min,Movies,1996,1
filme144478,realizador11,172 min,Comedies,1970,2
filme67398,realizador18,109 min,Music & Musicals,2009,2
filme16426,realizador3,109 min,Anime Features,2015,1
filme66676,realizador9,199 min,Stand-Up Comedy,2001,4
filme54963,realizador1,201 min,International Movies,2023,4
filme142643,realizador11,207 min,Movies,1969,5
filme100496,realizador7,196 min,International Movies,2007,5
filme88432,realizador7,229 min,Classic Movies,1986,5
filme19791,realizador14,187 min,International Movies,1986,4
filme10093,realizador9,123 min,Horror Movies,1970,2
filme136580,realizador5,58 min,LGBTQ Movies,1972,5
filme99075,realizador16,211 min,Horror Movies,2003,3
filme78322,realizador11,112 min,Sports Movies,1962,3
filme19334,realizador14,231 min,Documentaries,1990,4
filme53938,realizador1,33 min,Romantic Movies,1978,1
filme129043,realizador6,57 min,International Movies,1981,4
filme39153,realizador16,178 min,Action & Adventure,1983,2
filme47612,realizador19,231 min,International Movies,1978,1
filme16719,realizador15,82 min,Classic Movies,1999,2
filme35391,realizador4,89 min,Dramas,1984,1
filme104188,realizador16,59 min,LGBTQ Movies,2019,1
filme81662,realizador3,94 min,Stand-Up Comedy,2010,3
filme49708,realizador2,75 min,Classic Movies,2020,1
filme21276,realizador16,150 min,Children & Family Movies,2011,5
filme44715,realizador11,44 min,Horror Movies,1979,3
filme84412,realizador19,44 min,Documentaries,1971,1
filme74322,realizador16,131 min,Thrillers,1994,4
filme119266,realizador1,201 min,Cult Movies,1979,1
filme141081,realizador18,238 min,Movies,2023,2
filme83037,realizador11,179 min,Cult Movies,1997,4
filme45135,realizador2,203 min,Romantic Movies,1977,2
filme67444,realizador6,130 min,Movies,2015,2
filme8594,realizador10,218 min,Sci-Fi & Fantasy,1984,4
filme54974,realizador5,83 min,Horror Movies,1970,3
filme21090,realizador19,92 min,Anime Features,2008,1
filme79584,realizador18,76 min,Documentaries,2000,4
filme33813,realizador8,186 min,Comedies,1967,3
filme55540,realizador6,37 min,Movies,1979,1
filme95104,realizador9,165 min,Sci-Fi & Fantasy,1973,2
filme88800,realizador18,122 min,International Movies,2013,5
filme46091,realizador19,68 min,Dramas,1982,2
filme32547,realizador1,168 min,Anime Features,1981,5
filme33794,realizador5,213 min,Thrillers,1969,1
filme77672,realizador10,195 min,Thrillers,1990,2
filme134098,realizador18,162 min,Sci-Fi & Fantasy,2022,5
filme40623,realizador11,38 min,Thrillers,1988,4
filme115605,realizador4,226 min,Horror Movies,2013,2
filme21083,realizador5,127 min,Children & Family Movies,2008,4
filme131487,realizador17,56 min,Cult Movies,1970,3
filme95369,realizador15,153 min,Comedies,1960,2
filme118103,realizador11,174 min,Sci-Fi & Fantasy,1971,4
filme53933,realizador15,134 min,Classic Movies,2011,3
filme8040,realizador14,95 min,Action & Adventure,1966,4
filme147954,realizador1,53 min,Romantic Movies,1962,2
filme112771,realizador6,111 min,Romantic Movies,1989,4
filme49514,realizador8,39 min,Thrillers,1967,1
filme30034,realizador16,61 min,Classic Movies,2001,3
filme111000,realizador5,190 min,Horror Movies,1967,3
filme109953,realizador2,68 min,Stand-Up Comedy,2008,5
filme13076,realizador3,155 min,Dramas,2001,3
filme95114,realizador16,154 min,Music & Musicals,1963,5
filme6012,realizador13,148 min,Movies,1980,2
filme98025,realizador14,54 min,Romantic Movies,1995,3
filme122761,realizador15,100 min,Sports Movies,2021,2
filme91447,realizador4,155 min,Sci-Fi & Fantasy,2006,3
filme23032,realizador5,213 min,International Movies,2016,2
filme140542,realizador1,169 min,Anime Features,2014,5
filme62434,realizador5,137 min,Sports Movies,1990,5
filme36103,realizador12,160 min,Horror Movies,1986,5
filme142615,realizador16,106 min,Independent Movies,1965,2
filme79549,realizador11,153 min,Independent Movies,2000,5
filme16239,realizador11,143 min,Music & Musicals,1975,1
filme102530,realizador5,51 min,Documentaries,2000,1
filme135045,realizador11,127 min,Comedies,2016,4
filme21667,realizador2,125 min,Sci-Fi & Fantasy,2021,2
filme101512,realizador5,208 min,Horror Movies,2022,4
filme131979,realizador16,221 min,Classic Movies,1991,5
filme106056,realizador9,159 min,Movies,1977,4
filme122332,realizador1,40 min,Classic Movies,1973,1
filme34011,realizador13,47 min,Action & Adventure,2011,1
filme13577,realizador18,87 min,Stand-Up Comedy,1989,2
filme87731,realizador1,93 min,LGBTQ Movies,1982,5
filme121372,realizador7,227 min,Cult Movies,1978,1
filme105602,realizador5,233 min,Documentaries,1966,4
filme142277,realizador15,147 min,LGBTQ Movies,2022,1
filme107064,realizador8,156 min,Anime Features,2005,4
filme22332,realizador18,37 min,International Movies,2005,1
filme99586,realizador16,126 min,Sports Movies,1980,3
filme82398,realizador17,123 min,Music & Musicals,2011,3
filme124982,realizador9,172 min,Sports Movies,1986,2
filme73126,realizador6,64 min,Comedies,2015,3
filme57615,realizador9,236 min,Dramas,2011,3
filme8415,realizador13,133 min,International Movies,1992,2
filme91555,realizador13,138 min,Action & Adventure,1998,1
filme15011,realizador16,205 min,Comedies,2018,1
filme84749,realizador8,86 min,Classic Movies,1989,2
filme101228,realizador13,137 min,Children & Family Movies,2016,2
filme29351,realizador15,179 min,Cult Movies,1985,4
filme117583,realizador2,217 min,Anime Features,2006,5
filme48365,realizador8,226 min,Romantic Movies,1960,1
filme123723,realizador13,123 min,Sports Movies,2010,5
filme10796,realizador10,92 min,Sports Movies,2022,5
filme141422,realizador3,102 min,Music & Musicals,1989,5
filme61003,realizador2,55 min,Romantic Movies,1976,1
filme18186,realizador7,202 min,Stand-Up Comedy,1981,4
filme12306,realizador12,230 min,Sci-Fi & Fantasy,1978,2
filme148175,realizador5,76 min,Dramas,2007,3
filme145383,realizador19,134 min,Movies,1961,2
filme15225,realizador16,102 min,Anime Features,1966,2
filme118692,realizador10,98 min,International Movies,1976,4
filme124125,realizador4,190 min,Documentaries,1986,1
filme9559,realizador10,232 min,Cult Movies,1984,1
filme16414,realizador8,92 min,Music & Musicals,2011,5
filme10319,realizador13,57 min,Movies,1995,4
filme7376,realizador11,32 min,Romantic Movies,1996,5
filme107869,realizador11,228 min,Children & Family Movies,1976,3
filme27476,realizador13,195 min,Horror Movies,2005,3
filme11861,realizador4,82 min,Horror Movies,2011,2
filme136710,realizador19,35 min,Dramas,1962,3
filme64295,realizador5,137 min,Children & Family Movies,1988,5
filme120389,realizador17,142 min,Romantic Movies,1964,1
