Filme,Realizador,Ano lancamento,Rating,Duracao,Genero
Naruto Shippûden the Movie: Bonds,Hajime Kamegaki,2008,1,93 min,Action & Adventure
Naruto Shippûden the Movie: The Will of Fire,Masahiko Murata,2009,2,96 min,Action & Adventure
Naruto Shippuden: The Movie,Hajime Kamegaki,2007,1,95 min,Action & Adventure
Naruto Shippuden: The Movie: The Lost Tower,Masahiko Murata,2010,2,85 min,Action & Adventure
Naruto the Movie 2: Legend of the Stone of Gelel,Hirotsugu Kawasaki,2005,1,97 min,Action & Adventure
Naruto the Movie 3: Guardians of the Crescent Moon Kingdom,Toshiyuki Tsuru,2006,3,95 min,Action & Adventure
Naruto the Movie: Ninja Clash in the Land of Snow,Tensai Okamura,2004,3,83 min,Action & Adventure
Nightbooks,David Yarovesky,2021,5,103 min,Children & Family Movies
Schumacher,"Hanns-Bruno Kammertöns, Vanessa Nöcker, Michael Wech",2021,5,113 min,Documentaries
A StoryBots Space Adventure,David A. Vargas,2021,4,13 min,Children & Family Movies
King of Boys,Kemi Adetiba,2018,1,182 min,Dramas
You vs. Wild: Out Cold,Ben Simms,2021,4,106 min,Children & Family Movies
Little Singham - Black Shadow,Prakash Satam,2021,2,48 min,Children & Family Movies
Tughlaq Durbar,Delhiprasad Deenadayalan,2020,1,145 min,Comedies
Tughlaq Durbar (Telugu),Delhiprasad Deenadayalan,2021,1,145 min,Comedies
Firedrake the Silver Dragon,Tomer Eshed,2021,2,93 min,Children & Family Movies
Kate,Cedric Nicolas-Troyan,2021,1,106 min,Action & Adventure
Omo Ghetto: the Saga,"JJC Skillz, Funke Akindele",2020,3,147 min,Action & Adventure
Prey,Thomas Sieben,2021,3,87 min,International Movies
Blood Brothers: Malcolm X & Muhammad Ali,Marcus Clarke,2021,3,96 min,Documentaries
Paradise Hills,Alice Waddington,2019,3,95 min,Sci-Fi & Fantasy
The Women and the Murderer,"Mona Achache, Patricia Tourancheau",2021,1,92 min,Documentaries
JJ+E,Alexis Almström,2021,2,91 min,Dramas
Show Dogs,Raja Gosnell,2018,2,90 min,Children & Family Movies
If I Leave Here Tomorrow: A Film About Lynyrd Skynyrd,Stephen Kijak,2018,4,97 min,Documentaries
Untold: Breaking Point,"Chapman Way, Maclain Way",2021,1,80 min,Documentaries
Shadow Parties,Yemi Amodu,2020,4,117 min,Dramas
Angamaly Diaries,Lijo Jose Pellissery,2017,4,128 min,Action & Adventure
A Champion Heart,David de Vos,2018,1,90 min,Children & Family Movies
Worth,Sara Colangelo,2021,3,119 min,Dramas
Afterlife of the Party,Stephen Herek,2021,5,110 min,Comedies
Anjaam,Rahul Rawail,1994,4,143 min,Dramas
Bright Star,Jane Campion,2009,1,119 min,Dramas
Dhanak,Nagesh Kukunoor,2015,1,114 min,Comedies
Final Account,Luke Holland,2021,1,94 min,Documentaries
Gurgaon,Shanker Raman,2017,1,106 min,Dramas
Here and There,JP Habac,2020,5,99 min,Dramas
In the Cut,Jane Campion,2003,3,118 min,Thrillers
Shikara,Vidhu Vinod Chopra,2020,4,115 min,Dramas
A Cinderella Story,Mark Rosman,2004,2,95 min,Children & Family Movies
Agatha Christie's Crooked House,Gilles Paquet-Brenner,2017,5,115 min,Dramas
An Unfinished Life,Lasse Hallström,2005,1,108 min,Dramas
Barbie Big City Big Dreams,Scott Pleydell-Pearce,2021,5,63 min,Children & Family Movies
Blade Runner: The Final Cut,Ridley Scott,1982,5,117 min,Action & Adventure
Chappie,Neill Blomkamp,2015,5,121 min,Action & Adventure
Clear and Present Danger,Phillip Noyce,1994,2,142 min,Action & Adventure
Cliffhanger,Renny Harlin,1993,2,113 min,Action & Adventure
Cold Mountain,Anthony Minghella,2003,5,154 min,Dramas
Crocodile Dundee in Los Angeles,Simon Wincer,2001,1,95 min,Action & Adventure
Dear John,Lasse Hallström,2010,5,108 min,Dramas
Do the Right Thing,Spike Lee,1989,2,120 min,Classic Movies
"El patrón, radiografía de un crimen",Sebastián Schindel,2014,1,100 min,Dramas
Extraction,Steven C. Miller,2015,4,82 min,Action & Adventure
Freedom Writers,Richard LaGravenese,2007,4,124 min,Dramas
Green Lantern,Martin Campbell,2011,2,114 min,Action & Adventure
House Party,Reginald Hudlin,1990,5,104 min,Comedies
House Party 2,"George Jackson, Doug McHenry",1991,4,94 min,Comedies
House Party 3,Eric Meza,1994,1,94 min,Comedies
I Got the Hook Up,Michael Martin,1998,4,93 min,Action & Adventure
In Too Deep,Michael Rymer,1999,5,97 min,Thrillers
Initial D,"Andrew Lau Wai-keung, Alan Mak",2005,2,109 min,Action & Adventure
Janoskians: Untold and Untrue,Brett Weiner,2016,5,88 min,Comedies
Labyrinth,Jim Henson,1986,1,101 min,Action & Adventure
Letters to Juliet,Gary Winick,2010,5,105 min,Comedies
Level 16,Danishka Esterhazy,2018,5,102 min,Sci-Fi & Fantasy
Love Don't Cost a Thing,Troy Byer,2003,1,101 min,Comedies
Love in a Puff,Pang Ho-cheung,2010,4,103 min,Comedies
Mars Attacks!,Tim Burton,1996,3,106 min,Comedies
Marshall,Reginald Hudlin,2017,4,118 min,Dramas
My Boss's Daughter,David Zucker,2003,1,86 min,Comedies
Mystery Men,Kinka Usher,1999,5,121 min,Action & Adventure
Once Upon a Time in America,Sergio Leone,1984,1,229 min,Classic Movies
Open Season 2,"Matthew O'Callaghan, Todd Wilderman",2008,4,76 min,Children & Family Movies
Osmosis Jones,"Bobby Farrelly, Peter Farrelly",2001,3,95 min,Action & Adventure
Poseidon,Wolfgang Petersen,2006,1,98 min,Action & Adventure
Rhyme & Reason,Peter Spirer,1997,3,89 min,Documentaries
Same Kind of Different as Me,Michael Carney,2017,4,120 min,Dramas
School of Rock,Richard Linklater,2003,3,110 min,Comedies
Snervous Tyler Oakley,Amy Rice,2015,3,83 min,Documentaries
Tears of the Sun,Antoine Fuqua,2003,2,121 min,Action & Adventure
The Blue Lagoon,Randal Kleiser,1980,1,105 min,Dramas
The Golden Child,Michael Ritchie,1986,2,94 min,Action & Adventure
The Guns of Navarone,J. Lee Thompson,1961,5,156 min,Action & Adventure
The Interview,"Evan Goldberg, Seth Rogen",2014,4,112 min,Action & Adventure
The Nutty Professor,Tom Shadyac,1996,3,95 min,Comedies
The Nutty Professor II: The Klumps,Peter Segal,2000,4,107 min,Comedies
Welcome Home Roscoe Jenkins,Malcolm D. Lee,2008,2,114 min,Comedies
In the Line of Fire,Wolfgang Petersen,1993,4,129 min,Action & Adventure
Untold: Crime & Penalties,"Chapman Way, Maclain Way",2021,2,86 min,Documentaries
2 Alone in Paris,"Ramzy Bedia, Éric Judor",2008,4,97 min,Comedies
Thimmarusu,Sharan Koppisetty,2021,2,125 min,Dramas
Wind River,Taylor Sheridan,2017,5,107 min,Dramas
C Kkompany,Sachin Yardi,2008,4,127 min,Action & Adventure
EMI: Liya Hai To Chukana Padega,Saurabh Kabra,2008,3,128 min,Comedies
He's All That,Mark Waters,2021,1,92 min,Comedies
Koi Aap Sa,Partho Mitra,2006,2,135 min,Comedies
Krishna Cottage,Santram Varma,2004,2,124 min,Action & Adventure
Kucch To Hai,"Anil V. Kumar, Anurag Basu",2003,3,136 min,Dramas
Kyaa Kool Hai Hum,Sangeeth Sivan,2005,1,165 min,Comedies
Kyaa Kool Hain Hum 3,Umesh Ghadge,2016,1,124 min,Comedies
Kyaa Super Kool Hain Hum,Sachin Yardi,2012,2,136 min,Comedies
Kyo Kii... Main Jhuth Nahin Bolta,David Dhawan,2001,2,150 min,Comedies
"LSD: Love, Sex Aur Dhokha",Dibakar Banerjee,2010,2,112 min,Dramas
Mission Istaanbul: Darr Ke Aagey Jeet Hai,Apoorva Lakhia,2008,4,119 min,Action & Adventure
Once Upon a Time in Mumbaai,Milan Luthria,2010,4,133 min,Dramas
Once Upon a Time in Mumbai Dobaara!,Milan Luthria,2013,5,142 min,Dramas
Ragini MMS,Pawan Kripalani,2011,5,93 min,Horror Movies
Ragini MMS 2,Bhushan Patel,2014,1,113 min,Horror Movies
SAS: Rise of the Black Swan,Magnus Martens,2021,1,124 min,Action & Adventure
Shootout at Lokhandwala,Apoorva Lakhia,2007,1,116 min,Action & Adventure
Shor In the City,"Raj Nidimoru, Krishna D.K.",2011,4,106 min,Comedies
The Dirty Picture,Milan Luthria,2011,5,145 min,Comedies
"Bob Ross: Happy Accidents, Betrayal & Greed",Joshua Rofé,2021,1,93 min,Documentaries
Really Love,Angel Kristi Williams,2020,5,95 min,Dramas
The November Man,Roger Donaldson,2014,2,108 min,Action & Adventure
The Old Ways,Christopher Alender,2020,3,90 min,Horror Movies
The River Runner,Rush Sturges,2021,5,86 min,Documentaries
The Water Man,David Oyelowo,2021,4,92 min,Children & Family Movies
Count Me In,Mark Lo,2021,4,82 min,Documentaries
Untold: Caitlyn Jenner,Crystal Moselle,2021,2,70 min,Documentaries
Boomika,Rathindran R Prasad,2021,4,122 min,Horror Movies
Boomika (Hindi),Rathindran R Prasad,2021,2,122 min,Horror Movies
Boomika (Malayalam),Rathindran R Prasad,2021,4,122 min,Horror Movies
Boomika (Telugu),Rathindran R Prasad,2021,1,122 min,Horror Movies
The Witcher: Nightmare of the Wolf,Han Kwang Il,2021,4,84 min,Action & Adventure
Gunshot,Karim El Shenawy,2018,2,96 min,Dramas
Man in Love,Yin Chen-hao,2021,4,115 min,Dramas
Sweet Girl,Brian Andrew Mendoza,2021,5,110 min,Action & Adventure
The Loud House Movie,Dave Needham,2021,1,88 min,Children & Family Movies
A Faraway Land,Veronica Velasco,2020,2,102 min,Dramas
Like Crazy,Drake Doremus,2011,3,91 min,Dramas
Black Island,Miguel Alexandre,2021,5,105 min,International Movies
Bombay,Mani Ratnam,1995,2,135 min,Dramas
Memories of a Murderer: The Nilsen Tapes,Michael Harte,2021,4,86 min,Documentaries
Nneka The Pretty Serpent,Tosin Igho,2020,5,140 min,Dramas
O Kadhal Kanmani,Mani Ratnam,2015,5,133 min,Dramas
Out of my league,Alice Filippi,2020,3,92 min,Comedies
Pahuna,Paakhi Tyrewala,2018,4,82 min,Comedies
The Secret Diary of an Exchange Student,Bruno Garotti,2021,5,97 min,Comedies
Untold: Deal With the Devil,Laura Brownson,2021,3,78 min,Documentaries
Walk of Shame,Steve Brill,2014,2,94 min,Comedies
The Piano,Jane Campion,1993,5,121 min,Classic Movies
Unroyal,Moses Inwang,2020,2,97 min,Dramas
Beckett,Ferdinando Cito Filomarino,2021,1,110 min,Action & Adventure
Lokillo: Nothing's the Same,Julián Gaviria,2021,4,64 min,Stand-Up Comedy
Monster Hunter: Legends of the Guild,Steven Yamamoto,2021,3,59 min,Action & Adventure
Brother Jekwu,Charles Uwagbai,2016,2,101 min,Comedies
La diosa del asfalto,Julián Hernández,2020,3,127 min,Dramas
Misha and the Wolves,Sam Hobkinson,2021,3,90 min,Documentaries
The Kissing Booth 3,Vince Marcello,2021,1,114 min,Comedies
The Railway Man,Jonathan Teplitzky,2013,3,108 min,Dramas
Untold: Malice at the Palace,Floyd Russ,2021,4,70 min,Documentaries
Quartet,Dustin Hoffman,2012,4,98 min,Comedies
Slay,Adze Ugah,2021,5,86 min,Comedies
Takizawa Kabuki ZERO 2020 The Movie,Hideaki Takizawa,2020,1,139 min,International Movies
The Paper Tigers,Quoc Bao Tran,2021,4,111 min,Action & Adventure
Quam's Money,Kayode Kasum,2020,1,115 min,Comedies
The Swarm,Just Philippot,2021,3,102 min,Horror Movies
Vivo,"Kirk DeMicco, Brandon Jeffords",2021,5,100 min,Children & Family Movies
Chennai Express,Rohit Shetty,2013,3,135 min,Action & Adventure
City of God: 10 Years Later,"Cavi Borges, Luciano Vidigal",2013,1,69 min,Documentaries
Esperando la carroza,Alejandro Doria,1985,5,95 min,Comedies
Lady Boss: The Jackie Collins Story,Laura Fairrie,2021,5,97 min,Documentaries
Tango Feroz,Marcelo Piñeyro,1993,2,124 min,Classic Movies
'76,Izu Ojukwu,2016,4,118 min,Dramas
Aftermath,Peter Winther,2021,1,115 min,Horror Movies
American Masters: Inventing David Geffen,Susan Lacy,2012,5,115 min,Movies
Heavy,James Mangold,1995,1,104 min,Dramas
Ije: The Journey,Chineze Anyaene,2010,5,106 min,Dramas
Pray Away,Kristine Stolakis,2021,2,102 min,Documentaries
Shiny_Flakes: The Teenage Drug Lord,"Eva Müller, Michael Schmitt",2021,2,97 min,Documentaries
Beethoven,Brian Levant,1992,1,87 min,Children & Family Movies
Beethoven's 2nd,Rod Daniel,1993,3,88 min,Children & Family Movies
Beowulf,Robert Zemeckis,2007,5,114 min,Action & Adventure
Boyka: Undisputed,Todor Chapkanov,2016,4,90 min,Action & Adventure
Catch Me If You Can,Steven Spielberg,2002,1,142 min,Dramas
Cloudy with a Chance of Meatballs,"Phil Lord, Christopher Miller",2009,5,90 min,Children & Family Movies
Deep Blue Sea,Renny Harlin,1999,2,105 min,Action & Adventure
Ferris Bueller's Day Off,John Hughes,1986,4,103 min,Classic Movies
Five Feet Apart,Justin Baldoni,2019,1,116 min,Dramas
Freedomland,Joe Roth,2006,2,113 min,Dramas
Good Luck Chuck,Mark Helfrich,2007,2,99 min,Comedies
I missed you: Director's Cut,"Mag Hsu, Hsu Chih-yen",2021,1,96 min,Dramas
Inception,Christopher Nolan,2010,4,148 min,Action & Adventure
Magnolia,Paul Thomas Anderson,1999,4,189 min,Dramas
Major Payne,Nick Castle,1995,3,97 min,Comedies
My Girl,Howard Zieff,1991,3,102 min,Dramas
My Girl 2,Howard Zieff,1994,4,99 min,Children & Family Movies
Open Season: Scared Silly,David Feiss,2015,4,85 min,Children & Family Movies
Pineapple Express,David Gordon Green,2008,4,112 min,Action & Adventure
Planet 51,Jorge Blanco,2009,5,91 min,Children & Family Movies
Poms,Zara Hayes,2019,5,91 min,Comedies
Seabiscuit,Gary Ross,2003,2,141 min,Dramas
Space Cowboys,Clint Eastwood,2000,2,130 min,Action & Adventure
Team America: World Police,Trey Parker,2004,1,98 min,Action & Adventure
The Edge of Seventeen,Kelly Fremon Craig,2016,4,105 min,Comedies
The Haunting in Connecticut 2: Ghosts of Georgia,Tom Elkins,2013,2,101 min,Horror Movies
The Last Boy Scout,Tony Scott,1991,2,105 min,Action & Adventure
The Lincoln Lawyer,Brad Furman,2011,5,118 min,Dramas
The Losers,Sylvain White,2010,1,97 min,Action & Adventure
The Machinist,Brad Anderson,2004,2,102 min,Dramas
The Net,Irwin Winkler,1995,4,114 min,Thrillers
The Original Kings of Comedy,Spike Lee,2000,5,111 min,Stand-Up Comedy
Valentine's Day,Garry Marshall,2010,1,125 min,Comedies
The Lost Café,Kenneth Gyang,2018,1,76 min,Dramas
The Vault,Jaume Balagueró,2021,1,118 min,Action & Adventure
Eyes of a Thief,Najwa Najjar,2014,1,103 min,Dramas
I'm Glad I Did,Selçuk Metin,2020,4,114 min,Documentaries
Pomegranates and Myrrh,Najwa Najjar,2009,2,95 min,Dramas
Rurouni Kenshin: The Beginning,Keishi Otomo,2021,2,138 min,Action & Adventure
The Last Mercenary,David Charhon,2021,1,112 min,Action & Adventure
Flower Girl,Michelle Bello,2013,1,94 min,Comedies
Resort to Love,Steven Tsuchida,2021,3,102 min,Comedies
Bartkowiak,Daniel Markowicz,2021,5,92 min,Action & Adventure
Fantastic Fungi,Louie Schwartzberg,2019,2,81 min,Documentaries
Department,Ram Gopal Varma,2012,5,143 min,Action & Adventure
Hostage House,David Benullo,2021,4,86 min,Thrillers
Mimi,Laxman Utekar,2021,4,132 min,Comedies
The Operative,Yuval Adler,2019,2,117 min,Dramas
Django Unchained,Quentin Tarantino,2012,3,165 min,Action & Adventure
A Second Chance:  Rivals!,Clay Glen,2021,5,91 min,Children & Family Movies
African America,Muzi Mthembu,2021,3,97 min,Dramas
Bankrolled,Marcos Bucay,2021,2,97 min,Comedies
Blood Red Sky,Peter Thorwarth,2021,3,123 min,Action & Adventure
Kingdom: Ashin of the North,Kim Seong-hun,2021,5,94 min,Horror Movies
The Last Letter From Your Lover,Augustine Frizzell,2021,3,111 min,Dramas
9to5: The Story of a Movement,,2021,3,85 min,Documentaries
Chhota Bheem - Dinosaur World,Sidheswar Shukla,2015,4,65 min,Children & Family Movies
Chhota Bheem - Neeli Pahaadi,Rajiv Chilaka,2013,5,64 min,Children & Family Movies
Chhota Bheem & Ganesh,Rajiv Chilaka,2009,2,68 min,Children & Family Movies
Chhota Bheem & Krishna: Mayanagari,Rajiv Chilaka,2011,2,67 min,Children & Family Movies
Chhota Bheem & Krishna: Pataliputra- City of the Dead,Rajiv Chilaka,2010,3,66 min,Children & Family Movies
Chhota Bheem And The Broken Amulet,Rajiv Chilaka,2013,5,64 min,Children & Family Movies
Chhota Bheem And The Crown of Valhalla,Rajiv Chilaka,2013,5,64 min,Children & Family Movies
Chhota Bheem and the Incan Adventure,Rajiv Chilaka,2013,3,65 min,Children & Family Movies
Chhota Bheem and The ShiNobi Secret,Rajiv Chilaka,2013,4,64 min,Children & Family Movies
Chhota Bheem Aur Hanuman,Rajiv Chilaka,2012,5,68 min,Children & Family Movies
Chhota Bheem aur Krishna,Rajiv Chilaka,2009,1,68 min,Children & Family Movies
Chhota Bheem aur Krishna vs Zimbara,Rajiv Chilaka,2013,3,64 min,Children & Family Movies
Chhota Bheem in African Safari,Binayak Das,2015,2,62 min,Children & Family Movies
Chhota Bheem Ka Roosi Romanch,"Arpan Sarkar, Shyamal Chaulia",2019,2,63 min,Children & Family Movies
Chhota Bheem: Bheem vs Aliens,Rajiv Chilaka,2010,3,69 min,Children & Family Movies
Chhota Bheem: Dholakpur to Kathmandu,Rajiv Chilaka,2012,1,70 min,Children & Family Movies
Chhota Bheem: Dus Pe Dus,"Rajiv Chilaka, Owll Mina",2014,2,63 min,Children & Family Movies
Chhota Bheem: Journey to Petra,Rajiv Chilaka,2011,3,68 min,Children & Family Movies
Chhota Bheem: Master of Shaolin,Rajiv Chilaka,2011,3,74 min,Children & Family Movies
Chhota Bheem: The Rise of Kirmada,Rajiv Chilaka,2012,3,68 min,Children & Family Movies
Cousins,"Ainsley Gardiner, Briar Grace-Smith",2021,4,99 min,Dramas
Wannabe Courageous,Mahmoud Karim,2019,4,90 min,Comedies
Words Bubble Up Like Soda Pop,Kyohei Ishiguro,2021,3,87 min,Anime Features
Sanitation Day,Seyi Babatope,2020,3,105 min,Dramas
Trollhunters: Rise of the Titans,"Johane Matte, Andrew L. Schmidt, Francisco Ruiz Velasco",2021,2,106 min,Children & Family Movies
Milkwater,Morgan Ingari,2020,5,102 min,Comedies
The Tambour of Retribution,Abdulaziz Alshlahei,2021,3,91 min,Dramas
Cosmic Sin,Edward Drake,2021,3,88 min,Action & Adventure
2 Weeks in Lagos,Kathryn Fasegha,2020,1,107 min,Dramas
Deep,"Sita Likitvanichkul, Jetarin Ratanaserikiat, Apirak Samudkitpaisan, Thanabodee Uawithya, Adirek Wattaleela",2021,1,101 min,Dramas
Fear Street Part 3: 1666,Leigh Janiak,2021,4,114 min,Horror Movies
La ley de Herodes,Luis Estrada,1999,5,123 min,Comedies
The Beguiled,Sofia Coppola,2017,1,94 min,Dramas
The Book of Henry,Colin Trevorrow,2017,4,105 min,Dramas
The Twilight Saga: Breaking Dawn: Part 1,Bill Condon,2011,1,117 min,Dramas
The Twilight Saga: Breaking Dawn: Part 2,Bill Condon,2012,4,115 min,Dramas
The Twilight Saga: Eclipse,David Slade,2010,1,124 min,Dramas
The Twilight Saga: New Moon,Chris Weitz,2009,4,131 min,Dramas
Twilight,Catherine Hardwicke,2008,3,122 min,Action & Adventure
A Perfect Fit,Hadrah Daeng Ratu,2021,1,113 min,Comedies
Cheech & Chong's Still Smokin,Tommy Chong,1983,4,91 min,Comedies
Emicida: AmarElo - Live in São Paulo,Fred Ouro Preto,2021,2,100 min,Documentaries
Lift Like a Girl,Mayye Zayed,2021,3,93 min,Documentaries
My Amanda,Alessandra de Rossi,2021,5,90 min,Dramas
Surf's Up,"Ash Brannon, Chris Buck",2007,3,86 min,Children & Family Movies
The Unknown Saint,Alaa Eddine Aljem,2019,4,100 min,Comedies
This Changes Everything,Tom Donahue,2019,2,96 min,Documentaries
A Classic Horror Story,"Roberto De Feo, Paolo Strippoli",2021,4,95 min,Horror Movies
Gunpowder Milkshake,Navot Papushado,2021,1,115 min,Action & Adventure
Private Network: Who Killed Manuel Buendía?,Manuel Alcalá,2021,1,100 min,Documentaries
The Guide to the Perfect Family,Ricardo Trogi,2021,4,102 min,Comedies
American Woman,Semi Chellas,2019,2,87 min,Dramas
Bridgerton - The Afterparty,,2021,4,39 min,Movies
Day of Destiny,"Akay Mason, Abosi Ogba",2021,3,110 min,Children & Family Movies
Born to Play,Viridiana Lieberman,2020,5,93 min,Documentaries
American Ultra,Nima Nourizadeh,2015,1,96 min,Action & Adventure
The Stand-Up,Daniel Růžička,2019,4,93 min,Stand-Up Comedy
The Tour,Juraj Šajmovič,2016,5,93 min,Comedies
Fear Street Part 2: 1978,Leigh Janiak,2021,1,111 min,Horror Movies
Finding Hubby,Femi D. Ogunsanwo,2020,3,105 min,Comedies
How I Became a Superhero,Douglas Attal,2021,5,101 min,Action & Adventure
Last Summer,,2021,4,102 min,Dramas
Lee Su-geun: The Sense Coach,Kim Joo-hyung,2021,5,46 min,Stand-Up Comedy
Lethal Love,Avi Federgreen,2021,4,89 min,Thrillers
Ratchet and Clank,"Jericca Cleland, Kevin Munroe",2016,4,94 min,Children & Family Movies
Back to Q82,Ahmed Siddiqui,2017,4,104 min,Comedies
Home Again,Hallie Meyers-Shyer,2017,3,97 min,Comedies
Midnight Sun,Scott Speer,2018,2,91 min,Dramas
Rock the Kasbah,Barry Levinson,2015,5,106 min,Comedies
Awon Boyz,Tolulope Itegboje,2019,5,38 min,Documentaries
Brick Mansions,Camille Delamarre,2014,4,90 min,Action & Adventure
Clash,Pascal Atuma,2020,5,87 min,Dramas
Major Grom: Plague Doctor,Oleg Trofim,2021,3,138 min,Action & Adventure
Mama Drama,Seyi Babatope,2020,4,105 min,Dramas
Tango With Me,Mahmood Ali-Balogun,2010,1,104 min,Dramas
Therapy,"Anurin Nwunembom, Musing Derrick",2020,4,85 min,Dramas
This Little Love Of Mine,Christine Luby,2021,1,92 min,International Movies
Three Thieves,Udoka Oyeka,2019,3,108 min,Comedies
A Land Imagined,Yeo Siew Hua,2019,1,95 min,Dramas
Har Kisse Ke Hisse: Kaamyaab,Hardik Mehta,2020,1,105 min,Dramas
Rehmataan,"Rajveer Singh Maan, Harpeet Singh",2012,4,116 min,Dramas
Return of the Prodigal Son,Youssef Chahine,1976,1,124 min,Dramas
Rise: Ini Kalilah,"Saw Teong Hin, Nik Amir Mustapha, M.S. Prem Nath",2018,4,101 min,Dramas
Si Doel the Movie 2,Rano Karno,2019,5,95 min,Dramas
Truckbhar Swapna,Pramod Pawar,2018,3,128 min,Comedies
Ujala,Naresh Saigal,1959,1,143 min,Dramas
Fear Street Part 1: 1994,Leigh Janiak,2021,2,107 min,Horror Movies
Haseen Dillruba,Vinil Mathew,2021,2,136 min,International Movies
Holiday on Mars,Neri Parenti,2020,2,94 min,Comedies
RattleSnake - The Ahanna Story,Ramsey Nouah,2020,4,136 min,Dramas
Snowpiercer,Bong Joon Ho,2013,2,126 min,Action & Adventure
The 8th Night,Kim Tae-hyung,2021,3,116 min,Horror Movies
Winchester,"Michael Spierig, Peter Spierig",2018,1,100 min,Horror Movies
6 Bullets,Ernie Barbarash,2012,5,115 min,Action & Adventure
Air Force One,Wolfgang Petersen,1997,2,125 min,Action & Adventure
Audible,Matt Ogens,2021,3,39 min,Documentaries
Austin Powers in Goldmember,Jay Roach,2002,1,94 min,Action & Adventure
Austin Powers: International Man of Mystery,Jay Roach,1997,4,90 min,Comedies
Austin Powers: The Spy Who Shagged Me,Jay Roach,1999,5,95 min,Action & Adventure
Boogie Nights,Paul Thomas Anderson,1997,2,155 min,Comedies
Charlie's Angels,McG,2000,2,98 min,Action & Adventure
Congo,Frank Marshall,1995,4,108 min,Action & Adventure
Dennis the Menace,Nick Castle,1993,5,96 min,Children & Family Movies
Dreamy Eyes,Victor Vu,2019,1,117 min,Dramas
Dynasty Warriors,Chow Hin Yeung Roy,2021,1,118 min,Action & Adventure
Hampstead,Joel Hopkins,2019,3,103 min,Comedies
Kung Fu Panda,"John Stevenson, Mark Osborne",2008,5,94 min,Children & Family Movies
Kung Fu Panda 2,Jennifer Yuh Nelson,2011,2,93 min,Children & Family Movies
Life as We Know It,Greg Berlanti,2010,2,115 min,Comedies
Mary Magdalene,Garth Davis,2019,3,120 min,Dramas
Memoirs of a Geisha,Rob Marshall,2005,4,145 min,Dramas
Midnight Run,Martin Brest,1988,4,126 min,Action & Adventure
Mobile Suit Gundam Hathaway,Shuko Murase,2021,1,96 min,Action & Adventure
Mortal Kombat,Paul W.S. Anderson,1995,4,101 min,Action & Adventure
Mother's Day,Garry Marshall,2016,1,118 min,Comedies
No Strings Attached,Ivan Reitman,2011,2,109 min,Comedies
Not Another Teen Movie,Joel Gallen,2001,5,89 min,Comedies
Ophelia,Claire McCarthy,2018,2,106 min,Dramas
Pet Sematary 2,Mary Lambert,1992,2,101 min,Horror Movies
Red Joan,Trevor Nunn,2019,3,101 min,Dramas
Seven Pounds,Gabriele Muccino,2008,5,123 min,Dramas
She's Out of My League,Jim Field Smith,2010,5,106 min,Comedies
