Filme,Realizador,Duração,Género,Ano lançamento,Rating
filme5603,realizador1,67 min,Horror Movies,1986,2
filme137380,realizador9,148 min,Thrillers,1969,3
filme26171,realizador1,225 min,Movies,2016,5
filme104977,realizador16,97 min,Thrillers,1988,1
filme106393,realizador9,214 min,Movies,2019,3
filme72404,realizador17,95 min,Horror Movies,1976,1
filme26321,realizador8,194 min,Movies,2002,3
filme1517,realizador5,124 min,Cult Movies,1968,2
filme89020,realizador17,105 min,Sci-Fi & Fantasy,2018,4
filme134708,realizador4,194 min,Sports Movies,2010,2
filme149583,realizador14,193 min,International Movies,1971,1
filme119054,realizador3,117 min,Thrillers,1992,2
filme103018,realizador2,176 min,Classic Movies,1961,3
filme24008,realizador17,143 min,Sci-Fi & Fantasy,1983,2
filme99920,realizador4,237 min,Movies,2023,4
filme7251,realizador11,179 min,Children & Family Movies,1973,5
filme7669,realizador16,187 min,Horror Movies,1990,2
filme64259,realizador7,85 min,Anime Features,1993,3
filme125120,realizador11,162 min,Comedies,1999,2
filme44606,realizador11,115 min,Cult Movies,1965,1
filme136175,realizador4,123 min,International Movies,2014,3
filme45987,realizador9,175 min,International Movies,1963,2
filme29580,realizador10,48 min,Comedies,2004,3
filme130510,realizador8,186 min,Dramas,1997,2
filme45812,realizador2,48 min,International Movies,1968,2
filme31717,realizador5,156 min,Independent Movies,2009,1
filme115169,realizador4,31 min,Stand-Up Comedy,1990,5
filme115214,realizador11,182 min,Children & Family Movies,1971,3
filme52580,realizador11,69 min,LGBTQ Movies,1986,1
filme52410,realizador3,59 min,Stand-Up Comedy,1987,1
filme66048,realizador10,48 min,Independent Movies,2004,4
filme18204,realizador16,87 min,Children & Family Movies,1962,5
filme46485,realizador10,75 min,LGBTQ Movies,2000,1
filme75672,realizador12,99 min,International Movies,1982,1
filme140315,realizador5,39 min,Stand-Up Comedy,2015,1
filme120906,realizador18,169 min,Cult Movies,2017,1
filme117125,realizador11,138 min,Stand-Up Comedy,1962,5
filme18686,realizador19,233 min,Comedies,1980,5
filme79886,realizador11,77 min,Documentaries,1974,4
filme101153,realizador1,152 min,Movies,1985,4
filme16672,realizador14,103 min,International Movies,1990,3
filme71226,realizador13,218 min,Thrillers,1973,5
filme15645,realizador17,208 min,Children & Family Movies,1991,2
filme31224,realizador10,133 min,International Movies,2013,2
filme32319,realizador3,92 min,Action & Adventure,1998,4
filme96096,realizador10,102 min,Music & Musicals,1978,5
filme34270,realizador4,84 min,Documentaries,2009,3
filme145841,realizador8,161 min,Dramas,2002,3
filme128073,realizador2,114 min,Sports Movies,2008,4
filme63160,realizador5,74 min,Comedies,1961,3
filme117025,realizador10,41 min,Romantic Movies,1998,5
filme111929,realizador7,218 min,Horror Movies,1997,2
filme3109,realizador10,98 min,Classic Movies,1968,5
filme121382,realizador6,239 min,International Movies,1976,4
filme21144,realizador17,95 min,Movies,1962,1
filme21905,realizador7,59 min,Action & Adventure,2002,5
filme29043,realizador12,68 min,Stand-Up Comedy,2012,5
filme33834,realizador19,48 min,Stand-Up Comedy,2018,4
filme9225,realizador1,39 min,Sports Movies,1962,5
filme61724,realizador15,228 min,Sports Movies,1975,5
filme24302,realizador7,42 min,Sports Movies,2007,5
filme95807,realizador11,239 min,Children & Family Movies,2016,5
filme25740,realizador17,240 min,Horror Movies,1983,3
filme64724,realizador19,51 min,Anime Features,2023,1
filme110072,realizador6,87 min,Music & Musicals,1987,3
filme88800,realizador2,173 min,Sci-Fi & Fantasy,1976,3
filme7659,realizador10,43 min,Anime Features,2007,2
filme119391,realizador4,36 min,Independent Movies,1967,4
filme128652,realizador17,143 min,Stand-Up Comedy,2002,4
filme14511,realizador16,187 min,Cult Movies,1996,5
filme36607,realizador14,66 min,Horror Movies,1982,4
filme47399,realizador8,138 min,International Movies,1976,4
filme123705,realizador11,48 min,LGBTQ Movies,1987,3
filme104738,realizador18,138 min,International Movies,1986,5
filme18513,realizador1,165 min,Dramas,1971,4
filme73263,realizador8,206 min,Sci-Fi & Fantasy,1968,2
filme16344,realizador12,162 min,Music & Musicals,2000,5
filme43889,realizador5,216 min,International Movies,2009,3
filme46665,realizador17,110 min,Stand-Up Comedy,1985,1
filme80115,realizador6,154 min,LGBTQ Movies,2007,5
filme147173,realizador2,136 min,Horror Movies,1970,1
filme65815,realizador9,178 min,LGBTQ Movies,2019,5
filme82888,realizador11,179 min,Stand-Up Comedy,1988,3
filme10219,realizador16,229 min,Children & Family Movies,2008,2
filme62270,realizador17,163 min,Cult Movies,1979,5
filme9529,realizador4,174 min,Romantic Movies,1988,5
filme60588,realizador10,46 min,Cult Movies,1991,5
filme11244,realizador7,35 min,Cult Movies,2018,5
filme133584,realizador9,95 min,Sports Movies,2005,5
filme113569,realizador8,173 min,Sci-Fi & Fantasy,1962,4
filme135813,realizador2,64 min,Sci-Fi & Fantasy,2009,4
filme75680,realizador4,219 min,Thrillers,2006,3
filme74173,realizador16,158 min,Children & Family Movies,1982,4
filme87046,realizador10,119 min,International Movies,1982,4
filme60672,realizador4,119 min,Movies,2023,2
filme62447,realizador18,133 min,Anime Features,2003,4
filme85278,realizador14,87 min,Action & Adventure,1989,5
filme49485,realizador17,141 min,Comedies,1994,5
filme125556,realizador17,91 min,Stand-Up Comedy,1963,4
filme18190,realizador9,38 min,LGBTQ Movies,1974,4
filme89322,realizador9,32 min,Music & Musicals,1991,5
filme55494,realizador9,84 min,Classic Movies,1993,3
filme84026,realizador4,40 min,Sci-Fi & Fantasy,2019,2
filme9081,realizador15,109 min,Children & Family Movies,1960,5
filme11834,realizador4,68 min,Music & Musicals,1974,5
filme15557,realizador17,45 min,Sports Movies,1980,5
filme5614,realizador15,140 min,LGBTQ Movies,2001,1
filme131583,realizador15,226 min,Children & Family Movies,2022,5
filme148730,realizador7,145 min,Independent Movies,1975,4
filme44671,realizador12,212 min,Sports Movies,1967,1
filme136833,realizador13,235 min,Movies,2001,3
filme69808,realizador6,121 min,Romantic Movies,2003,4
filme125293,realizador16,161 min,Comedies,1973,4
filme32403,realizador17,48 min,Romantic Movies,2020,4
filme37851,realizador10,186 min,Independent Movies,2013,3
filme58330,realizador14,94 min,Independent Movies,1974,4
filme29948,realizador4,106 min,Anime Features,1977,4
filme102069,realizador2,205 min,Movies,1990,2
filme147547,realizador10,161 min,Cult Movies,2008,3
filme66542,realizador1,205 min,Documentaries,1981,3
filme87340,realizador8,137 min,Stand-Up Comedy,2015,3
filme84479,realizador13,148 min,Comedies,2023,2
filme11711,realizador6,148 min,Sci-Fi & Fantasy,1961,2
filme60984,realizador1,97 min,Sci-Fi & Fantasy,1973,3
filme16286,realizador2,110 min,Documentaries,2016,3
filme119926,realizador1,82 min,Sports Movies,2022,2
filme96254,realizador12,89 min,Anime Features,1968,1
filme66864,realizador13,118 min,Anime Features,2023,4
filme80241,realizador15,79 min,Documentaries,2023,5
filme44517,realizador15,240 min,Stand-Up Comedy,1997,2
filme68337,realizador5,211 min,Documentaries,2007,5
filme94543,realizador1,41 min,LGBTQ Movies,2015,4
filme100857,realizador10,232 min,Stand-Up Comedy,1992,2
filme127251,realizador14,218 min,Movies,2003,1
filme126107,realizador9,206 min,Classic Movies,2008,5
filme143076,realizador2,212 min,Documentaries,2002,5
filme107629,realizador9,107 min,LGBTQ Movies,1986,5
filme40649,realizador2,237 min,Comedies,1964,2
filme53792,realizador8,155 min,International Movies,2017,4
filme112591,realizador5,38 min,Sci-Fi & Fantasy,2021,1
filme25280,realizador1,43 min,Action & Adventure,1978,1
filme87041,realizador7,149 min,Anime Features,1982,5
filme8815,realizador9,162 min,Sci-Fi & Fantasy,1968,5
filme139035,realizador3,135 min,Documentaries,2016,2
filme80364,realizador5,116 min,Movies,1984,2
filme60041,realizador16,169 min,International Movies,1962,1
filme121085,realizador4,47 min,Anime Features,1969,3
filme132,realizador13,30 min,Sci-Fi & Fantasy,1972,3
filme75873,realizador9,103 min,Horror Movies,2023,3
filme29374,realizador2,172 min,LGBTQ Movies,1993,2
filme145015,realizador7,225 min,Dramas,1973,2
filme122859,realizador15,110 min,Independent Movies,1989,3
filme143876,realizador6,192 min,Anime Features,1983,4
filme55065,realizador17,141 min,Movies,1969,2
filme124137,realizador15,124 min,Children & Family Movies,2006,2
filme103610,realizador6,119 min,Dramas,1960,5
filme65834,realizador4,48 min,Dramas,1971,3
filme20143,realizador17,114 min,Action & Adventure,1965,2
filme341,realizador5,217 min,Documentaries,2007,2
filme146839,realizador16,207 min,Sci-Fi & Fantasy,2015,4
filme49258,realizador13,66 min,Stand-Up Comedy,1982,4
filme75852,realizador5,76 min,Sports Movies,1973,5
filme72547,realizador13,166 min,International Movies,1973,3
filme116174,realizador3,65 min,Romantic Movies,1960,2
filme21171,realizador6,42 min,Comedies,1984,1
filme85945,realizador18,101 min,Action & Adventure,1989,5
filme82579,realizador9,171 min,International Movies,1966,5
filme143630,realizador8,137 min,Romantic Movies,2016,5
filme105210,realizador16,66 min,Sci-Fi & Fantasy,2016,1
filme148258,realizador1,134 min,Anime Features,1978,2
filme62336,realizador15,229 min,Comedies,1985,1
filme55898,realizador4,160 min,Children & Family Movies,2018,1
filme76714,realizador6,114 min,Movies,2020,1
filme29451,realizador11,152 min,Children & Family Movies,2000,2
filme8647,realizador16,192 min,Dramas,2020,5
filme27002,realizador7,150 min,Music & Musicals,1996,2
filme56977,realizador8,238 min,Music & Musicals,2018,3
filme43598,realizador2,148 min,Classic Movies,1970,4
filme55001,realizador2,150 min,Stand-Up Comedy,2013,5
filme64562,realizador8,157 min,Romantic Movies,1988,5
filme124862,realizador19,191 min,Movies,1962,1
filme12725,realizador19,219 min,Cult Movies,2009,4
filme89081,realizador15,132 min,Cult Movies,1982,5
filme109172,realizador7,87 min,Thrillers,1996,1
filme8478,realizador3,178 min,International Movies,2013,5
filme55241,realizador8,37 min,Sports Movies,2009,2
filme100547,realizador18,168 min,Action & Adventure,1979,1
filme72532,realizador7,116 min,Sports Movies,2022,1
filme54673,realizador17,50 min,Dramas,1996,3
filme108515,realizador9,140 min,Sci-Fi & Fantasy,2003,4
filme29934,realizador18,128 min,Horror Movies,1990,3
filme110129,realizador5,190 min,Classic Movies,1961,2
filme44456,realizador5,110 min,Horror Movies,1960,1
filme51757,realizador12,231 min,Movies,2021,2
filme37799,realizador4,120 min,Classic Movies,2009,4
filme134616,realizador16,172 min,Stand-Up Comedy,1993,4
filme63410,realizador1,67 min,Action & Adventure,1976,3
filme139409,realizador17,199 min,Sports Movies,2000,3
filme27888,realizador4,227 min,Comedies,1992,2
filme143841,realizador1,228 min,Anime Features,2016,4
filme28527,realizador9,181 min,LGBTQ Movies,1986,1
filme31053,realizador8,159 min,Sports Movies,1974,2
filme113135,realizador7,234 min,Children & Family Movies,1999,5
filme55773,realizador7,68 min,Documentaries,1977,1
filme79574,realizador6,147 min,Sci-Fi & Fantasy,2012,2
filme76440,realizador9,147 min,Comedies,1998,4
filme123220,realizador9,64 min,International Movies,1966,4
filme77967,realizador16,142 min,Sports Movies,2005,2
filme143176,realizador10,234 min,Action & Adventure,2022,1
filme11804,realizador2,42 min,Documentaries,2007,5
filme33146,realizador12,36 min,Thrillers,2019,4
filme89317,realizador2,114 min,Romantic Movies,1960,4
filme25102,realizador11,114 min,Independent Movies,2005,3
filme68355,realizador14,35 min,Movies,1994,1
filme106342,realizador17,240 min,Independent Movies,2015,3
filme88856,realizador2,140 min,Sci-Fi & Fantasy,2014,3
filme123057,realizador7,237 min,Stand-Up Comedy,2013,3
filme103597,realizador13,43 min,Independent Movies,2014,3
filme103860,realizador8,217 min,Romantic Movies,2014,3
filme14112,realizador9,217 min,Romantic Movies,2018,3
filme47324,realizador6,205 min,Documentaries,2004,4
filme137265,realizador8,124 min,Music & Musicals,1971,4
filme117685,realizador18,228 min,Independent Movies,1979,4
filme38309,realizador12,184 min,Thrillers,2020,3
filme60015,realizador3,85 min,Movies,2006,4
filme88677,realizador7,240 min,International Movies,1982,3
filme142459,realizador7,108 min,Children & Family Movies,2002,1
filme100557,realizador10,168 min,Action & Adventure,1984,5
filme113618,realizador7,138 min,Anime Features,2019,1
filme141363,realizador10,220 min,Classic Movies,1978,1
filme47955,realizador13,44 min,Cult Movies,2005,3
filme72096,realizador5,197 min,International Movies,1994,4
filme38269,realizador17,159 min,Independent Movies,2023,5
filme36712,realizador5,105 min,Music & Musicals,1997,4
filme88409,realizador14,158 min,Sports Movies,2019,5
filme11446,realizador7,214 min,Horror Movies,1981,1
filme11662,realizador15,117 min,Music & Musicals,2015,3
filme75159,realizador12,183 min,Classic Movies,2016,4
filme4440,realizador3,174 min,Anime Features,2004,5
filme26315,realizador16,166 min,Classic Movies,2010,1
filme62143,realizador17,59 min,Sports Movies,2021,1
filme105490,realizador5,76 min,Action & Adventure,2017,3
filme93633,realizador10,233 min,Horror Movies,2013,2
filme67585,realizador13,51 min,LGBTQ Movies,1967,3
filme148869,realizador1,93 min,Documentaries,1989,4
filme39198,realizador15,59 min,International Movies,1983,2
filme74010,realizador19,235 min,Music & Musicals,1999,1
filme56278,realizador6,66 min,Horror Movies,2007,2
filme46616,realizador7,121 min,Action & Adventure,2001,1
filme22819,realizador15,122 min,Music & Musicals,2002,2
filme134846,realizador9,154 min,Dramas,1963,2
filme4497,realizador15,187 min,Stand-Up Comedy,1987,1
filme80106,realizador18,95 min,Cult Movies,2023,1
filme17510,realizador17,39 min,Romantic Movies,1991,1
filme73515,realizador12,105 min,Children & Family Movies,2001,4
filme102898,realizador19,166 min,Classic Movies,1989,2
filme144624,realizador8,167 min,Music & Musicals,1969,1
filme31303,realizador4,196 min,Movies,1969,3
filme80378,realizador19,38 min,Documentaries,2012,1
filme112978,realizador7,98 min,Dramas,1978,3
filme122197,realizador6,205 min,Anime Features,1979,2
filme26947,realizador3,140 min,Independent Movies,1995,5
filme74856,realizador1,51 min,Children & Family Movies,1961,2
filme123708,realizador6,40 min,Children & Family Movies,1968,3
filme7130,realizador15,141 min,Comedies,2005,2
filme71379,realizador11,44 min,Movies,2001,2
filme71824,realizador1,205 min,Romantic Movies,1986,4
filme96914,realizador12,116 min,Music & Musicals,1990,4
filme119196,realizador13,221 min,Documentaries,1971,3
filme95719,realizador12,30 min,Sci-Fi & Fantasy,1998,4
filme121019,realizador1,53 min,Music & Musicals,2014,4
filme62424,realizador4,129 min,Sci-Fi & Fantasy,2008,4
filme4485,realizador1,93 min,International Movies,1964,1
filme17513,realizador15,166 min,Horror Movies,2006,3
filme78590,realizador7,219 min,Music & Musicals,1971,4
filme147105,realizador2,171 min,Horror Movies,1991,2
filme120955,realizador16,225 min,Dramas,1968,4
filme124430,realizador9,113 min,Horror Movies,1977,4
filme108164,realizador11,173 min,Horror Movies,1976,3
filme105850,realizador8,40 min,Music & Musicals,1975,5
filme24407,realizador8,34 min,Sports Movies,1966,1
filme34848,realizador16,206 min,Romantic Movies,1989,4
filme66149,realizador4,48 min,LGBTQ Movies,2020,4
filme148626,realizador19,73 min,Classic Movies,1994,1
filme25764,realizador19,195 min,Classic Movies,2014,5
filme84861,realizador12,35 min,Action & Adventure,1998,4
filme88048,realizador8,116 min,Documentaries,1987,5
filme125398,realizador19,109 min,Children & Family Movies,1986,1
filme38469,realizador17,150 min,Cult Movies,1995,5
filme145605,realizador4,190 min,Sci-Fi & Fantasy,1960,1
filme66408,realizador12,169 min,Dramas,1979,4
filme49445,realizador13,83 min,Documentaries,1978,3
filme110838,realizador10,191 min,International Movies,2011,4
filme68062,realizador9,83 min,Romantic Movies,1967,5
filme29424,realizador3,131 min,Anime Features,1982,2
filme79496,realizador17,163 min,Independent Movies,1984,1
filme103682,realizador12,106 min,Comedies,1989,3
filme68438,realizador14,92 min,Movies,1978,1
filme19705,realizador11,75 min,Stand-Up Comedy,1991,3
filme10941,realizador1,214 min,Music & Musicals,1990,1
filme41279,realizador12,82 min,Stand-Up Comedy,1998,2
filme50210,realizador17,221 min,Sci-Fi & Fantasy,1972,2
filme94311,realizador19,216 min,Classic Movies,1992,4
filme93323,realizador12,238 min,Sports Movies,2003,5
filme137430,realizador9,136 min,Action & Adventure,1982,3
filme4187,realizador7,195 min,Children & Family Movies,1985,1
filme102111,realizador17,79 min,Anime Features,1989,4
filme3361,realizador17,85 min,International Movies,2022,1
filme148393,realizador1,102 min,Movies,2009,3
filme96596,realizador9,92 min,Music & Musicals,1991,5
filme66337,realizador11,43 min,International Movies,1996,1
filme70482,realizador8,212 min,Music & Musicals,2022,5
filme134581,realizador17,216 min,International Movies,2005,3
filme61366,realizador15,174 min,Anime Features,2003,4
filme99291,realizador8,61 min,Action & Adventure,1991,2
filme35011,realizador10,43 min,Romantic Movies,1993,3
filme75645,realizador6,213 min,Horror Movies,1982,2
filme52976,realizador15,187 min,Children & Family Movies,1960,3
filme148112,realizador10,220 min,Dramas,2011,3
filme75415,realizador19,133 min,Documentaries,2016,2
filme107476,realizador11,33 min,International Movies,2006,5
filme54490,realizador7,209 min,Sports Movies,2006,4
